# wind_disasters.csv,,,,,,,,,,
# file format as follows,,,,,,,,,,
# type,event_name ,num_killed ,damage ,start_year ,start_month ,start_day ,iso ,country_name ,region ,continent 
Storm , ,10,0,1993,5,14,AFG ,Afghanistan ,South Asia ,Asia 
Winter , ,260,0,2005,1,0,AFG ,Afghanistan ,South Asia ,Asia 
Winter , ,6,0,2002,1,8,ALB ,Albania ,Rest of Europe ,Europe 
Winter , ,2,0,2005,1,23,ALB ,Albania ,Rest of Europe ,Europe 
Storm , ,0,0,1988,9,0,DZA ,Algeria ,North Africa ,Africa 
Storm , ,4,0,2000,12,29,DZA ,Algeria ,North Africa ,Africa 
Winter , ,13,0,2003,1,31,DZA ,Algeria ,North Africa ,Africa 
Winter , ,10,0,2005,2,0,DZA ,Algeria ,North Africa ,Africa 
Cyclone , ,90,0,1966,1,0,ASM ,American Samoa ,Oceania ,Oceania 
Cyclone ,Gina ,0,5000,1989,1,10,ASM ,American Samoa ,Oceania ,Oceania 
Cyclone ,Heta ,0,150000,2004,1,5,ASM ,American Samoa ,Oceania ,Oceania 
Cyclone ,Olaf ,0,0,2005,2,16,ASM ,American Samoa ,Oceania ,Oceania 
Hurricane ,Alice ,0,0,1955,1,2,AIA ,Anguilla ,Caribbean ,Americas 
Hurricane ,Donna ,5,35000,1960,9,4,AIA ,Anguilla ,Caribbean ,Americas 
Hurricane ,Frederic ,0,0,1979,9,3,AIA ,Anguilla ,Caribbean ,Americas 
Tornado , ,0,160,1983,4,18,AIA ,Anguilla ,Caribbean ,Americas 
Hurricane ,Klaus ,0,2115,1984,11,7,AIA ,Anguilla ,Caribbean ,Americas 
Hurricane ,Lenny ,0,50,1999,11,17,AIA ,Anguilla ,Caribbean ,Americas 
Hurricane ,Dog ,2,1000,1950,9,1,ATG ,Antigua and Barbuda ,Caribbean ,Americas 
Hurricane ,Donna ,2,0,1960,9,4,ATG ,Antigua and Barbuda ,Caribbean ,Americas 
Hurricane ,Inez ,0,0,1966,9,26,ATG ,Antigua and Barbuda ,Caribbean ,Americas 
Hurricane ,Hugo ,2,80000,1989,9,17,ATG ,Antigua and Barbuda ,Caribbean ,Americas 
Hurricane ,Gustav ,0,0,1990,8,27,ATG ,Antigua and Barbuda ,Caribbean ,Americas 
Hurricane ,Luis ,2,300000,1995,9,5,ATG ,Antigua and Barbuda ,Caribbean ,Americas 
Hurricane ,Georges ,2,60000,1998,9,20,ATG ,Antigua and Barbuda ,Caribbean ,Americas 
Hurricane ,Jose ,1,0,1999,10,20,ATG ,Antigua and Barbuda ,Caribbean ,Americas 
Hurricane ,Lenny ,0,0,1999,11,17,ATG ,Antigua and Barbuda ,Caribbean ,Americas 
Tornado , ,60,0,1973,1,1,ARG ,Argentina ,South America ,Americas 
Storm , ,100,0,1974,2,0,ARG ,Argentina ,South America ,Americas 
Storm , ,20,0,1975,3,13,ARG ,Argentina ,South America ,Americas 
Storm , ,5,0,1978,10,30,ARG ,Argentina ,South America ,Americas 
Tornado , ,1,0,1986,12,0,ARG ,Argentina ,South America ,Americas 
Storm , ,1,10000,1987,1,0,ARG ,Argentina ,South America ,Americas 
Storm , ,15,50000,1993,2,6,ARG ,Argentina ,South America ,Americas 
Storm , ,6,0,1995,4,10,ARG ,Argentina ,South America ,Americas 
Storm , ,0,0,1998,2,7,ARG ,Argentina ,South America ,Americas 
Winter , ,0,0,2000,9,0,ARG ,Argentina ,South America ,Americas 
Storm , ,1,0,2000,12,27,ARG ,Argentina ,South America ,Americas 
Storm , ,4,0,2001,1,10,ARG ,Argentina ,South America ,Americas 
Storm , ,16,15000,2001,4,10,ARG ,Argentina ,South America ,Americas 
Storm , ,3,0,2002,10,22,ARG ,Argentina ,South America ,Americas 
Storm , ,12,0,2003,11,11,ARG ,Argentina ,South America ,Americas 
Storm , ,11,0,2005,1,30,ARG ,Argentina ,South America ,Americas 
Cyclone ,Ada ,13,72475,1970,1,0,AUS ,Australia ,Oceania ,Oceania 
Cyclone ,Althea ,3,119219,1971,12,24,AUS ,Australia ,Oceania ,Oceania 
Cyclone ,Tracy ,65,800000,1974,12,25,AUS ,Australia ,Oceania ,Oceania 
Cyclone ,Wanda ,11,296717,1974,1,0,AUS ,Australia ,Oceania ,Oceania 
Cyclone ,Joan ,0,63861,1975,12,0,AUS ,Australia ,Oceania ,Oceania 
Storm , ,0,13037,1976,1,10,AUS ,Australia ,Oceania ,Oceania 
Tornado , ,0,7279,1976,11,2,AUS ,Australia ,Oceania ,Oceania 
Storm , ,0,38024,1976,11,10,AUS ,Australia ,Oceania ,Oceania 
Cyclone ,David ,0,4237,1976,1,0,AUS ,Australia ,Oceania ,Oceania 
Cyclone ,Beth ,0,8257,1976,2,0,AUS ,Australia ,Oceania ,Oceania 
Cyclone ,Ted ,0,36177,1976,12,0,AUS ,Australia ,Oceania ,Oceania 
Storm , ,0,38680,1977,1,0,AUS ,Australia ,Oceania ,Oceania 
Storm , ,0,10269,1977,2,0,AUS ,Australia ,Oceania ,Oceania 
Cyclone ,Alby ,5,1000000,1978,4,0,AUS ,Australia ,Oceania ,Oceania 
Storm , ,0,3797,1978,10,0,AUS ,Australia ,Oceania ,Oceania 
Storm , ,0,35090,1978,2,0,AUS ,Australia ,Oceania ,Oceania 
Storm , ,0,11620,1978,3,0,AUS ,Australia ,Oceania ,Oceania 
Storm , ,0,16107,1978,6,0,AUS ,Australia ,Oceania ,Oceania 
Cyclone ,Hazel ,15,31286,1979,3,0,AUS ,Australia ,Oceania ,Oceania 
Storm , ,0,18683,1979,11,0,AUS ,Australia ,Oceania ,Oceania 
Cyclone ,Amy ,0,6966,1980,1,0,AUS ,Australia ,Oceania ,Oceania 
Cyclone ,Dean ,0,40026,1980,2,0,AUS ,Australia ,Oceania ,Oceania 
Cyclone ,Enid ,0,4605,1980,2,0,AUS ,Australia ,Oceania ,Oceania 
Cyclone , ,0,13932,1980,12,0,AUS ,Australia ,Oceania ,Oceania 
Storm , ,0,29399,1980,12,0,AUS ,Australia ,Oceania ,Oceania 
Storm , ,0,7895,1981,11,0,AUS ,Australia ,Oceania ,Oceania 
Cyclone ,Dominic ,1,6864,1982,4,0,AUS ,Australia ,Oceania ,Oceania 
Storm , ,0,12454,1982,11,15,AUS ,Australia ,Oceania ,Oceania 
Storm , ,0,11767,1982,12,15,AUS ,Australia ,Oceania ,Oceania 
Storm , ,0,1984,1983,1,0,AUS ,Australia ,Oceania ,Oceania 
Storm , ,0,2255,1983,2,0,AUS ,Australia ,Oceania ,Oceania 
Storm , ,0,5773,1983,9,0,AUS ,Australia ,Oceania ,Oceania 
Storm , ,27,122000,1985,1,18,AUS ,Australia ,Oceania ,Oceania 
Storm , ,0,7255,1985,9,0,AUS ,Australia ,Oceania ,Oceania 
Cyclone ,Winifred ,3,70000,1986,2,0,AUS ,Australia ,Oceania ,Oceania 
Storm , ,0,51000,1986,10,3,AUS ,Australia ,Oceania ,Oceania 
Storm , ,0,5778,1986,1,0,AUS ,Australia ,Oceania ,Oceania 
Storm , ,4,68055,1986,8,0,AUS ,Australia ,Oceania ,Oceania 
Storm , ,0,6806,1986,12,0,AUS ,Australia ,Oceania ,Oceania 
Cyclone ,Charlie ,1,20417,1988,3,0,AUS ,Australia ,Oceania ,Oceania 
Cyclone ,Aivu ,2,94300,1989,4,0,AUS ,Australia ,Oceania ,Oceania 
Cyclone ,Orson ,2,13611,1989,4,0,AUS ,Australia ,Oceania ,Oceania 
Storm , ,0,275000,1990,3,18,AUS ,Australia ,Oceania ,Oceania 
Cyclone ,Joy ,0,155600,1990,12,25,AUS ,Australia ,Oceania ,Oceania 
Storm , ,0,0,1991,1,0,AUS ,Australia ,Oceania ,Oceania 
Storm , ,0,1560,1991,11,8,AUS ,Australia ,Oceania ,Oceania 
Storm , ,0,103100,1992,2,12,AUS ,Australia ,Oceania ,Oceania 
Storm , ,2,274900,1992,12,18,AUS ,Australia ,Oceania ,Oceania 
Tornado , ,0,0,1993,9,0,AUS ,Australia ,Oceania ,Oceania 
Storm , ,0,0,1993,12,0,AUS ,Australia ,Oceania ,Oceania 
Storm , ,2,77600,1994,5,25,AUS ,Australia ,Oceania ,Oceania 
Storm ,Hurricane ,22,0,1994,1,19,AUS ,Australia ,Oceania ,Oceania 
Storm , ,1,0,1994,11,7,AUS ,Australia ,Oceania ,Oceania 
Storm , ,2,0,1994,11,0,AUS ,Australia ,Oceania ,Oceania 
Cyclone ,Bobby ,7,98000,1995,2,0,AUS ,Australia ,Oceania ,Oceania 
Tornado , ,0,18700,1995,4,0,AUS ,Australia ,Oceania ,Oceania 
Storm , ,1,84000,1995,12,0,AUS ,Australia ,Oceania ,Oceania 
Storm , ,0,28000,1995,12,0,AUS ,Australia ,Oceania ,Oceania 
Storm , ,6,47000,1996,8,31,AUS ,Australia ,Oceania ,Oceania 
Storm , ,0,9333,1996,2,0,AUS ,Australia ,Oceania ,Oceania 
Storm , ,0,39200,1996,2,0,AUS ,Australia ,Oceania ,Oceania 
Cyclone ,Olivia ,0,46700,1996,4,0,AUS ,Australia ,Oceania ,Oceania 
Storm , ,0,317300,1996,9,29,AUS ,Australia ,Oceania ,Oceania 
Storm , ,1,140000,1996,12,0,AUS ,Australia ,Oceania ,Oceania 
Cyclone ,Rona ,5,12547,1999,2,11,AUS ,Australia ,Oceania ,Oceania 
Cyclone ,Vance ,1,200000,1999,3,19,AUS ,Australia ,Oceania ,Oceania 
Storm , ,1,640000,1999,4,14,AUS ,Australia ,Oceania ,Oceania 
Cyclone ,Steve ,1,90000,2000,2,27,AUS ,Australia ,Oceania ,Oceania 
Cyclone ,Tessi ,0,60000,2000,4,3,AUS ,Australia ,Oceania ,Oceania 
Cyclone ,Sam ,0,0,2000,12,7,AUS ,Australia ,Oceania ,Oceania 
Storm , ,1,6600,2001,1,16,AUS ,Australia ,Oceania ,Oceania 
Storm , ,1,0,2001,1,18,AUS ,Australia ,Oceania ,Oceania 
Storm , ,0,0,2001,4,26,AUS ,Australia ,Oceania ,Oceania 
Storm , ,0,0,2002,2,16,AUS ,Australia ,Oceania ,Oceania 
Storm , ,0,0,2002,9,19,AUS ,Australia ,Oceania ,Oceania 
Storm , ,0,0,2002,12,5,AUS ,Australia ,Oceania ,Oceania 
Storm , ,1,0,2003,1,9,AUS ,Australia ,Oceania ,Oceania 
Tornado , ,0,0,2003,5,18,AUS ,Australia ,Oceania ,Oceania 
Storm ,Hailstorm ,0,0,2003,10,24,AUS ,Australia ,Oceania ,Oceania 
Storm , ,0,93000,2003,12,3,AUS ,Australia ,Oceania ,Oceania 
Storm , ,0,0,2003,12,9,AUS ,Australia ,Oceania ,Oceania 
Winter , ,0,0,2004,7,17,AUS ,Australia ,Oceania ,Oceania 
Storm , ,2,10000,2004,11,7,AUS ,Australia ,Oceania ,Oceania 
Storm , ,1,50000,2004,1,24,AUS ,Australia ,Oceania ,Oceania 
Storm , ,0,27000,2005,1,21,AUS ,Australia ,Oceania ,Oceania 
Storm , ,3,7000,2005,6,30,AUS ,Australia ,Oceania ,Oceania 
Storm , ,1,15000,2005,12,2,AUS ,Australia ,Oceania ,Oceania 
Winter , ,0,0,1976,1,0,AUT ,Austria ,European Union ,Europe 
Winter , ,0,0,1981,7,19,AUT ,Austria ,European Union ,Europe 
Storm , ,12,200000,1984,7,12,AUT ,Austria ,European Union ,Europe 
Storm , ,0,0,1990,5,22,AUT ,Austria ,European Union ,Europe 
Storm , ,0,37700,1990,7,1,AUT ,Austria ,European Union ,Europe 
Winter ,Daria ,3,238700,1990,1,0,AUT ,Austria ,European Union ,Europe 
