iso,country_name,region,continent
CPV,Cape Verde Is ,West Africa ,Africa 
IND,India ,South Asia ,Asia 
JPN,Japan ,East Asia ,Asia 
JAM,Jamaica ,Caribbean ,Americas 
USA,United States ,North America ,Americas 
UGA,Uganda ,East Africa ,Africa 
BEL,Belgium ,European Union ,Europe 
TZA,Tanzania Uni Rep ,East Africa ,Africa 
SLV,El Salvador ,Central America ,Americas 
MTQ,Martinique ,Caribbean ,Americas 
GTM,Guatemala ,Central America ,Americas 
SUN,Soviet Union ,Russian Federation ,Europe 
VCT,St Vincent and The Grenadines ,Caribbean ,Americas 
MMR,Myanmar ,South-east Asia ,Asia 
TUR,Turkey ,Rest of Europe ,Europe 
CAN,Canada ,North America ,Americas 
FRA,France ,European Union ,Europe 
NER,Niger ,West Africa ,Africa 
BGD,Bangladesh ,South Asia ,Asia 
ECU,Ecuador ,South America ,Americas 
PHL,Philippines ,South-east Asia ,Asia 
ITA,Italy ,European Union ,Europe 
GBR,United Kingdom ,European Union ,Europe 
CHN,China P Rep ,East Asia ,Asia 
TWN,Taiwan (China) ,East Asia ,Asia 
ETH,Ethiopia ,East Africa ,Africa 
CHL,Chile ,South America ,Americas 
COL,Colombia ,South America ,Americas 
HKG,Hong Kong (China) ,East Asia ,Asia 
NIC,Nicaragua ,Central America ,Americas 
IDN,Indonesia ,South-east Asia ,Asia 
ROM,Romania ,Rest of Europe ,Europe 
DEU,Germany ,European Union ,Europe 
MAR,Morocco ,North Africa ,Africa 
HTI,Haiti ,Caribbean ,Americas 
MEX,Mexico ,Central America ,Americas 
IRN,Iran Islam Rep ,South Asia ,Asia 
GNB,Guinea Bissau ,West Africa ,Africa 
DZA,Algeria ,North Africa ,Africa 
CRI,Costa Rica ,Central America ,Americas 
TCD,Chad ,Central Africa ,Africa 
MLI,Mali ,West Africa ,Africa 
SEN,Senegal ,West Africa ,Africa 
MRT,Mauritania ,West Africa ,Africa 
GMB,Gambia The ,West Africa ,Africa 
BFA,Burkina Faso ,West Africa ,Africa 
ESP,Spain ,European Union ,Europe 
PER,Peru ,South America ,Americas 
TKL,Tokelau ,Oceania ,Oceania 
HND,Honduras ,Central America ,Americas 
BLR,Belarus ,Russian Federation ,Europe 
BGR,Bulgaria ,Rest of Europe ,Europe 
NLD,Netherlands ,European Union ,Europe 
DNK,Denmark ,European Union ,Europe 
PRI,Puerto Rico ,Caribbean ,Americas 
NZL,New Zealand ,Oceania ,Oceania 
AIA,Anguilla ,Caribbean ,Americas 
ZAF,South Africa ,Southern Africa ,Africa 
DFR,Germany Fed Rep ,European Union ,Europe 
PAK,Pakistan ,South Asia ,Asia 
CUB,Cuba ,Caribbean ,Americas 
EGY,Egypt ,North Africa ,Africa 
BHS,Bahamas ,Caribbean ,Americas 
JOR,Jordan ,West Asia ,Asia 
KNA,St Kitts and Nevis ,Caribbean ,Americas 
BRA,Brazil ,South America ,Americas 
MSR,Montserrat ,Caribbean ,Americas 
POL,Poland ,Rest of Europe ,Europe 
GRC,Greece ,European Union ,Europe 
GLP,Guadeloupe ,Caribbean ,Americas 
PNG,Papua New Guinea ,Oceania ,Oceania 
CSK,Czechoslovakia ,Rest of Europe ,Europe 
DOM,Dominican Rep ,Caribbean ,Americas 
DMA,Dominica ,Caribbean ,Americas 
FJI,Fiji ,Oceania ,Oceania 
BLZ,Belize ,Central America ,Americas 
SLB,Solomon Is ,Oceania ,Oceania 
TTO,Trinidad and Tobago ,Caribbean ,Americas 
NPL,Nepal ,South Asia ,Asia 
AUS,Australia ,Oceania ,Oceania 
CHE,Switzerland ,Rest of Europe ,Europe 
BOL,Bolivia ,South America ,Americas 
KOR,Korea Rep ,East Asia ,Asia 
NOR,Norway ,Rest of Europe ,Europe 
NCL,New Caledonia ,Oceania ,Oceania 
VEN,Venezuela ,South America ,Americas 
GHA,Ghana ,West Africa ,Africa 
VUT,Vanuatu ,Oceania ,Oceania 
SDN,Sudan ,North Africa ,Africa 
HUN,Hungary ,Rest of Europe ,Europe 
COK,Cook Is ,Oceania ,Oceania 
IRL,Ireland ,European Union ,Europe 
SWE,Sweden ,European Union ,Europe 
